=== Model Evaluation Summary ===

                    accuracy        f1_score        recall       
                        mean    std     mean    std   mean    std
model                                                            
Decision Tree          0.982  0.005    0.982  0.005  0.982  0.005
Logistic Regression    0.936  0.003    0.933  0.003  0.936  0.003
SVM                    0.926  0.002    0.922  0.003  0.926  0.002
NB                     0.917  0.002    0.911  0.002  0.917  0.002
KNN                    0.803  0.010    0.795  0.010  0.803  0.010
QDA                    0.738  0.053    0.739  0.059  0.738  0.053
LDA                    0.727  0.007    0.714  0.007  0.727  0.007

=== Detailed Results per Run ===
              model  accuracy  f1_score  recall  run
                KNN     0.811  0.802599   0.811    0
                 NB     0.918  0.911397   0.918    0
                LDA     0.737  0.725074   0.737    0
Logistic Regression     0.940  0.937149   0.940    0
                QDA     0.720  0.727055   0.720    0
                SVM     0.929  0.924705   0.929    0
      Decision Tree     0.987  0.987023   0.987    0
                KNN     0.816  0.808672   0.816    1
                 NB     0.920  0.913785   0.920    1
                LDA     0.719  0.704726   0.719    1
Logistic Regression     0.938  0.934771   0.938    1
                QDA     0.677  0.662501   0.677    1
                SVM     0.926  0.921243   0.926    1
      Decision Tree     0.987  0.987023   0.987    1
                KNN     0.796  0.788738   0.796    2
                 NB     0.918  0.911397   0.918    2
                LDA     0.727  0.713805   0.727    2
Logistic Regression     0.932  0.928136   0.932    2
                QDA     0.800  0.804911   0.800    2
                SVM     0.923  0.918342   0.923    2
      Decision Tree     0.980  0.979950   0.980    2
                KNN     0.797  0.788972   0.797    3
                 NB     0.916  0.909236   0.916    3
                LDA     0.724  0.710835   0.724    3
Logistic Regression     0.935  0.931539   0.935    3
                QDA     0.787  0.791275   0.787    3
                SVM     0.925  0.920274   0.925    3
      Decision Tree     0.976  0.975877   0.976    3
                KNN     0.793  0.784788   0.793    4
                 NB     0.915  0.908033   0.915    4
                LDA     0.728  0.714638   0.728    4
Logistic Regression     0.937  0.933496   0.937    4
                QDA     0.705  0.708853   0.705    4
                SVM     0.928  0.923554   0.928    4
      Decision Tree     0.978  0.977917   0.978    4
